run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,n_drones_tracked,pos_variance_m2,pos_std_m,est_error_2d_m,est_error_3d_m,est_depth_m,est_error_depth_m,dcgd_err_final_mean_m,landing_err_mean_m,pf_std_xy_mean_m,note
3107,100,5,53.4,13.4,49.1,4.8,1e-05,0.1,50,0.35,0.40,True,82.5,3,5,0.019932003541767145,0.14118074777308393,1.631450823735056,2.9803484405438945,7.661,2.865,1.634,10.124,1.663,
3090,100,5,98.6,10.4,93.7,3.88,1e-05,0.05,50,0.60,0.58,True,146.8,3,4,0.04530077173605293,0.2128397794963454,2.5034166425381854,3.2654693320721986,5.974,2.097,2.507,4.208,2.264,
3106,100,5,3.9,74.2,69.3,4.43,1e-05,0.1,50,center,center,True,84.60000000000001,3,3,0.0009229581178238215,0.030380225769796734,0.3352027836505898,0.9868862529444408,5.488,1.053,0.335,2.452,1.756,
3100,100,5,97.5,62.2,108.8,2.65,1e-05,0.05,120,0.60,0.58,True,133.0,3,4,3.104204122889023,1.761875172334585,1.25268636458568,1.4330213587348606,3.345,0.696,2.156,4.507,2.041,
3109,100,5,54.7,15.6,50.8,4.62,1e-05,0.1,50,0.60,0.45,True,83.9,3,4,0.0031557942982086955,0.056176456796497014,0.9439140630136151,1.5737736495717367,6.325,1.701,0.944,5.589,1.701,
2894,100,5,3.2,92.1,87.1,2.52,1e-07,0.05,80,0.60,0.45,False,900.0,0,5,29.3407735290908,5.416712428133027,19.16012529071461,20.54118346436585,9.929,7.405,19.192,253.857,8.592,vittima non trovata entro 15 minuti
3105,100,5,48.2,94.4,99.3,4.29,1e-05,0.1,25,0.60,0.58,True,109.30000000000001,3,5,0.018803907498164563,0.13712734044735414,0.8528273477041834,1.2336840300537593,5.182,0.891,0.856,8.003,2.126,
3108,100,5,84.5,30.0,83.4,1.06,1e-05,0.1,50,0.45,0.55,True,117.7,3,5,0.014720531114261269,0.12132819587491306,0.6853301732342724,0.6919579546695795,1.124,0.06,0.689,2.61,1.768,
3115,100,5,43.4,56.2,64.0,4.04,1e-05,0.1,80,0.60,0.58,True,79.5,3,5,0.013864018676018702,0.117745567542981,0.36585723295216316,1.9654609540179355,5.963,1.923,0.38,1.592,1.653,
3111,100,5,30.2,60.6,61.0,2.22,1e-05,0.1,80,center,center,True,73.9,3,5,0.025291157537491546,0.15903193873399,0.8104114986910523,1.1789213525749365,1.558,0.658,0.825,1.554,1.808,
3110,100,5,64.5,72.0,89.6,2.72,1e-05,0.1,50,0.60,0.58,True,108.0,3,5,0.01873869654574612,0.1368893587746912,0.4985805522205507,8.08620002425581,-5.417,8.133,0.504,12.276,1.713,
3118,100,5,69.0,9.0,64.1,4.95,1e-05,0.1,120,0.45,0.55,True,94.10000000000001,3,3,1.1134696616864384,1.055210719091897,1.011144602104751,1.8404979974066338,3.059,1.886,1.059,3.878,1.668,
3114,100,5,58.8,42.3,65.5,4.11,1e-05,0.1,80,0.60,0.45,True,83.80000000000001,3,5,0.009113594253669895,0.09546514680065125,1.8460350092711801,8.30813796272002,-4.967,9.072,1.848,1.921,1.799,
3120,100,5,26.8,70.9,69.4,4.15,1e-05,0.1,120,0.60,0.58,True,75.60000000000001,3,5,0.25916245620980816,0.5090800096348393,0.5721903844500755,6.848539637969737,-2.867,7.013,0.733,3.145,1.76,
3113,100,5,68.6,31.6,68.9,2.7,1e-05,0.1,80,0.45,0.55,True,99.0,3,5,0.5921703692747131,0.7695260679630763,1.282047667151524,3.157512207549473,-0.728,3.424,1.285,3.997,1.675,
2925,100,5,86.2,36.4,87.1,3.68,1e-06,0.05,25,0.60,0.58,False,900.0,2,5,190.79178117535054,13.812739814220441,5.956880011775593,7.204755061870722,-2.814,6.493,14.534,992.721,3.414,vittima non trovata entro 15 minuti
3117,100,5,96.7,38.8,97.8,3.63,1e-05,0.1,120,0.35,0.40,True,135.0,3,4,0.003852953806645382,0.06207216611852193,1.0918530448161794,1.5396949408597076,2.542,1.086,1.092,2.118,1.665,
3127,100,5,25.9,65.9,64.4,4.08,1e-07,0.05,50,0.35,0.40,True,100.60000000000001,3,5,2.511515051310034,1.58477602559795,0.7618592160108284,2.455616073850656,1.586,2.494,1.627,1.771,1.974,
3126,100,5,65.9,49.1,75.1,1.69,1e-07,0.05,50,center,center,True,118.0,3,5,1.4968070587548263,1.223440664174126,3.7759764994148166,7.7266716134170315,-7.428,9.118,3.793,10.286,2.31,
3130,100,5,17.8,42.5,39.6,4.68,1e-07,0.05,50,0.60,0.58,True,75.9,3,5,0.0588085175164019,0.24250467524648242,1.4249943475755622,5.844381123215481,-1.291,5.969,1.436,2.19,2.084,
3128,100,5,66.6,46.5,74.3,1.9,1e-07,0.05,50,0.45,0.55,True,114.2,3,5,0.1445997858414298,0.3802627852438755,2.140026208749211,7.2495814835174,-5.954,7.857,2.15,4.995,1.935,
3116,100,5,90.7,60.6,102.1,3.36,1e-05,0.1,120,center,center,True,165.70000000000002,3,5,0.021653723883267265,0.14715204342199012,0.8821936807945997,1.073520428167386,25.289,21.929,0.889,4.238,1.703,
3122,100,5,61.2,39.5,66.0,1.34,1e-07,0.05,25,0.35,0.40,True,110.2,3,5,1.4419601153209471,1.2008164369798355,1.554099045923716,2.4641666218857132,3.78,2.437,1.623,4.057,1.935,
3129,100,5,39.4,87.2,89.2,1.2,1e-07,0.05,50,0.60,0.45,True,102.2,3,5,0.08366192124847929,0.28924370563329344,1.2631543310056936,3.5952220364381815,-2.803,4.004,1.281,1.557,1.828,
