run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
4973,200,5,142.5,95.0,3.0,1e-06,80,0.45,0.55,True,145.5,3,8.223233870696862e-06,0.002867618152874762,24.646549026587167,
4977,200,5,142.5,95.0,3.0,1e-06,120,0.35,0.45,True,127.60000000000001,3,5.4138539253275276e-05,0.007357889592354269,25.213718314813974,
4975,200,5,142.5,95.0,3.0,1e-06,80,0.60,0.58,True,142.0,3,3.811332644725494e-05,0.006173599148572488,24.32838874495428,
4978,200,5,142.5,95.0,3.0,1e-06,120,0.45,0.55,True,128.4,3,5.7894298866295405e-05,0.007608830321823152,24.081484048061107,
4979,200,5,142.5,95.0,3.0,1e-06,120,0.60,0.45,True,131.1,3,2.676043509724273e-05,0.005173048916958231,25.02524164521355,
4964,200,5,142.5,95.0,3.0,1e-06,25,0.60,0.45,True,199.5,3,0.9959676697327672,0.9979817982973272,26.489963741120324,
4980,200,5,142.5,95.0,3.0,1e-06,120,0.60,0.58,True,129.1,3,4.3307109336166955e-05,0.00658081372902827,24.517523547884164,
4962,200,5,142.5,95.0,3.0,1e-06,25,0.35,0.45,True,213.20000000000002,3,1.364738354671585,1.168220165324835,26.27308742977908,
4981,200,5,142.5,95.0,5.0,1e-08,25,center,center,True,131.8,3,25.099360157556475,5.009926162884686,25.207254665821726,
4984,200,5,142.5,95.0,5.0,1e-08,25,0.60,0.45,True,124.60000000000001,3,0.4093941627599604,0.6398391694480421,8.070874586235565,
4970,200,5,142.5,95.0,3.0,1e-06,50,0.60,0.58,True,211.60000000000002,3,46.23135515266779,6.799364319748412,17.0815482084538,
4982,200,5,142.5,95.0,5.0,1e-08,25,0.35,0.45,True,134.0,3,45.778617808778,6.765989787812128,16.120217419062,
4983,200,5,142.5,95.0,5.0,1e-08,25,0.45,0.55,True,136.6,3,11.454127010884557,3.3843946298983156,11.800478356401229,
