run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,noise_detect_factor,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
3241,200,4,132.2,29.8,1.0,1e-08,50.0,25,center,center,True,139.3,3,15.66601751809898,3.95803202590618,74.65407740498605,
3236,200,4,83.4,31.6,5.0,1e-06,100.0,120,center,center,True,225.60000000000002,3,nan,nan,25.620399192415857,
3101,200,4,83.4,31.6,3.0,1e-06,100.0,25,center,center,False,900.0,2,0.00023316170974429587,0.015269633582515851,0.9288061237744367,vittima non trovata entro 15 minuti
3242,200,4,132.2,29.8,1.0,1e-08,50.0,25,0.35,0.45,True,164.70000000000002,3,19.50731109574203,4.416708174165691,65.8267600819147,
3243,200,4,132.2,29.8,1.0,1e-08,50.0,25,0.45,0.55,True,197.8,3,2.427774701169871,1.558131798395075,71.1537356095509,
3246,200,4,132.2,29.8,1.0,1e-08,50.0,50,center,center,True,152.4,3,2.0254350079530545,1.4231777850827543,67.79513377848237,
3240,200,4,83.4,31.6,5.0,1e-06,100.0,120,0.60,0.58,True,282.3,3,nan,nan,28.498853179036423,
3244,200,4,132.2,29.8,1.0,1e-08,50.0,25,0.60,0.45,True,165.5,3,2.828213271254312,1.6817292502820755,65.81214058912353,
3251,200,4,132.2,29.8,1.0,1e-08,50.0,80,center,center,True,152.5,3,34.680147818832594,5.88898529619769,67.70186524496616,
3247,200,4,132.2,29.8,1.0,1e-08,50.0,50,0.35,0.45,True,164.70000000000002,3,19.50731109574203,4.416708174165691,65.8267600819147,
3114,200,4,83.4,31.6,3.0,1e-06,100.0,80,0.60,0.45,False,900.0,2,nan,nan,11.208260287542817,vittima non trovata entro 15 minuti
3249,200,4,132.2,29.8,1.0,1e-08,50.0,50,0.60,0.45,True,165.5,3,2.828213271254312,1.6817292502820755,65.81214058912353,
3252,200,4,132.2,29.8,1.0,1e-08,50.0,80,0.35,0.45,True,164.70000000000002,3,19.50731109574203,4.416708174165691,65.8267600819147,
3261,200,4,132.2,29.8,1.0,1e-08,100.0,25,center,center,True,104.80000000000001,3,0.00017849298482241298,0.013360126676884953,67.99077247623501,
3245,200,4,132.2,29.8,1.0,1e-08,50.0,25,0.60,0.58,True,199.9,3,0.5604828754362321,0.7486540425565283,72.05784112111428,
